Item Labels,1-Jan-17,1-Feb-17,1-Mar-17,1-Apr-17,1-May-17,1-Jun-17,1-Jul-17,1-Aug-17,1-Sep-17,1-Oct-17,1-Nov-17,1-Dec-17,1-Jan-18,1-Feb-18,1-Mar-18,1-Apr-18,1-May-18,1-Jun-18,1-Jul-18,1-Aug-18,1-Sep-18,1-Oct-18,1-Nov-18,1-Dec-18,1-Jan-19,1-Feb-19,1-Mar-19,1-Apr-19,1-May-19,1-Jun-19,1-Jul-19,1-Aug-19,1-Sep-19,1-Oct-19,1-Nov-19,1-Dec-19,1-Jan-20,1-Feb-20,1-Mar-20,1-Apr-20
"Mudfish (aro), fresh",994.37,998.71,1079.16,1008.95,1047.28,1071.13,1080.33,998.57,1069.92,1074.73,1081.61,1060.02,1099.77,1098.63,1069.90,1039.02,1062.74,1070.62,1065.56,1104.81,1072.12,1052.07,1067.10,1032.24,1054.49,1014.20,1015.53,1037.90,1026.85,991.45,971.74,979.84,978.23,979.20,1002.74,1010.99,1000.41,992.95,991.44,1004.18
Onion bulb,258.92,241.44,246.95,205.60,203.56,214.79,213.14,236.66,238.29,217.58,228.46,311.09,248.74,252.03,235.31,234.37,234.04,240.01,246.91,252.09,251.30,232.81,287.66,259.38,257.99,244.30,231.91,232.30,228.26,208.87,193.56,206.04,203.54,202.88,226.06,240.55,225.83,231.60,236.36,227.59
"Palm oil, 1 bottle, specify bottle",420.62,434.81,442.04,452.42,458.24,471.28,478.75,492.90,439.88,473.61,475.51,551.77,480.92,510.10,492.13,486.84,494.91,499.98,496.43,501.13,501.02,495.07,496.18,474.53,477.09,462.27,460.32,461.05,456.41,461.52,447.40,454.62,457.49,464.70,466.93,469.43,457.59,457.31,451.37,464.08
Plantain(ripe),234.25,234.28,236.65,240.71,241.48,249.71,251.27,254.02,231.70,247.38,244.89,240.84,273.71,257.63,259.83,262.31,273.48,276.60,270.77,275.78,272.60,245.62,254.08,227.28,229.51,225.98,223.13,228.34,226.34,220.44,217.22,225.04,220.42,208.69,218.01,213.04,206.17,207.82,220.91,236.49
Plantain(unripe),212.49,214.41,215.80,221.79,224.65,228.46,223.47,226.26,215.96,229.88,233.27,253.05,248.72,232.19,242.48,235.70,247.09,248.47,248.58,247.06,244.26,226.56,225.54,215.73,217.37,218.36,212.53,220.91,217.15,207.37,203.44,210.27,204.02,200.11,203.49,204.30,197.06,201.83,218.05,230.20
"Rice agric, sold loose",324.01,355.41,360.89,324.76,347.73,352.09,354.08,349.64,351.09,325.93,315.14,317.46,322.81,322.81,326.56,322.54,327.84,331.14,325.13,327.02,328.42,323.27,329.14,321.58,322.45,316.08,314.88,319.59,321.56,318.26,314.56,310.03,322.10,340.27,384.04,390.18,382.21,377.69,369.89,393.34
"Rice local, sold loose",286.19,306.29,308.87,299.30,323.82,325.51,323.25,320.19,316.40,292.90,278.89,278.94,274.66,276.28,283.57,281.51,286.16,280.76,276.29,280.29,277.78,277.87,278.46,280.79,281.49,281.25,280.80,282.78,278.26,271.10,277.38,272.77,290.16,303.69,344.01,345.94,338.58,334.11,313.10,342.49
Sweet potato,129.43,127.23,132.94,132.43,130.28,135.77,137.96,138.56,139.00,115.73,111.36,120.19,113.36,126.44,130.30,137.40,150.55,148.68,163.30,167.08,167.28,154.73,147.70,140.70,139.65,137.46,134.72,141.61,140.83,135.20,137.48,137.61,142.00,138.46,146.58,147.46,141.23,141.34,149.46,153.89
Tilapia fish (epiya) fresh,792.18,795.27,798.07,800.77,805.21,817.62,823.34,820.29,795.64,822.39,813.77,1158.84,864.05,885.65,890.10,889.52,924.12,939.36,935.16,947.79,979.22,923.12,934.07,887.54,910.91,876.13,876.36,894.12,884.47,845.73,812.22,833.59,813.43,815.55,859.55,884.07,870.06,863.29,854.86,870.49
"Titus, frozen",884.82,942.23,964.63,935.00,969.64,1012.18,1014.54,998.01,973.99,1050.38,1125.88,1109.21,894.70,901.49,905.76,898.62,921.04,950.28,924.77,946.55,941.50,923.92,1105.17,926.42,935.02,945.71,945.66,974.94,949.22,940.57,927.61,949.05,952.31,956.75,975.39,981.21,962.96,948.14,960.47,986.88
"Vegetable oil, 1 bottle, specify bottle",495.29,507.36,513.42,525.72,524.77,546.29,552.91,559.01,505.51,547.11,540.20,565.04,540.25,549.02,533.45,548.01,553.23,552.08,547.90,540.44,546.85,536.08,536.53,507.83,516.72,509.14,506.65,501.09,496.64,495.41,485.05,491.41,486.90,502.34,512.53,516.29,515.48,520.95,530.85,551.92
